_id,_index_map,households.sanitary_type
673572a1-2965-4201-8008-2f08ff81c442,0.0,Flush
c3951f3c-5ae7-4db2-88f8-0249ab542c53,0.0,Flush
db1fa905-6dfc-4cff-9f77-89fe7814c351,0.0,Pail
a7982c96-a19c-479f-a933-f951bf0583fb,0.0,Pail
9b7e33ef-17b1-46e7-8a7f-021457d28920,0.0,Flush
9cc26bf9-e698-4574-becf-89025f4b1069,0.0,Pail
9cc26bf9-e698-4574-becf-89025f4b1069,0.1,Open Pit
a9bd885c-8700-4530-a272-6ca0372243d8,0.0,Flush
c398b371-4f0c-4d87-8b9a-9c3f77634000,0.0,Pail
517192da-2c48-4595-82b6-93dcb3d5c725,0.0,Pail
517192da-2c48-4595-82b6-93dcb3d5c725,0.1,
b4df55c5-1c3e-4669-9a74-d5faadf229fd,0.0,Pail
1c1d73a8-61ee-444c-9d67-f9b0475fb794,0.0,Pail
306086dd-90e0-4799-b4b6-1088aa0e8b6c,0.0,Flush
1d02eb59-fb6b-4d72-b2d9-70c0b437a99a,0.0,Pail
c0853685-7b9b-462f-9f02-e0237c2133f5,0.0,Open Pit
61ab57f2-3212-4f16-af37-341bc8fc5e10,0.0,Flush
21c7d8b6-3529-4c91-bde6-e6a5a058e92f,0.0,Open Pit
dd704a15-b80a-4e8e-9213-4086e3a5a68f,0.0,Pail
dd704a15-b80a-4e8e-9213-4086e3a5a68f,0.1,Wrapped
4350351d-aeee-4ab5-b3dd-2aa0ba9a6d33,0.0,Flush
3e3afbfb-6474-42a7-99a6-71989caaa35f,0.0,Flush
d5fdda7a-87bd-46bc-8b05-d43a034a12d8,0.0,Flush
7697f0cd-9dcc-404a-810d-0abdd43cef11,0.0,Pail
9927b4d9-1477-4c71-ab61-5f7fdfe0b95f,0.0,Flush
4aa13d35-ef2a-45d4-b0d4-8663a12a4a8d,0.0,Pail
68ef4cba-5bdd-4535-9a6d-c767613b859e,0.0,Pail
68ef4cba-5bdd-4535-9a6d-c767613b859e,0.1,Open Pit
6c364b40-f087-4564-9364-8822b1cdaaa0,0.0,Pail
8f8958aa-d2cc-4281-9255-a56ba5ce6926,0.0,Pail
