date_visits,_id,_index_map
12/31/2014 at 07:57:23 PM EST,00acd0f6-da26-4d5e-bde9-452d9ed29d26,0
03/21/2018 at 09:08:31 AM GMT+00:00,00b631d4-bb23-47d1-b2a7-caf8ffbae284,0
03/26/2018 at 03:37:26 PM GMT+08:00,00bcd077-7e67-45dd-b8c0-dbf1bf514fcb,0
05/11/2018 at 09:01:10 AM GMT+08:00,00c08aa3-39bc-4908-956b-fc0d077599bb,0
04/23/2018 at 11:36:03 AM GMT+08:00,00c0a013-0751-402e-b79b-405c786a70e8,0
04/24/2018 at 08:46:57 PM GMT+00:00,00c3d977-34dc-4c5f-9ff3-8fe0cef9d934,0
05/07/2018 at 10:44:24 AM GMT+08:00,00d20096-4fa3-42b8-a26f-9e4b78793d93,0
05/21/2018 at 07:25:19 AM GMT+08:00,00d9394b-8888-4622-86e1-f1a11b7824f9,0
05/21/2018 at 10:27:23 AM GMT+08:00,00da80fa-98b1-48cb-9fcb-ce74f3f8439b,0
05/03/2018 at 10:16:55 AM GMT+08:00,00da9173-6910-4fe3-af8e-c727b72a9ee7,0
01/01/2016 at 11:59:07 AM GMT+08:00,00dfb157-b9c7-4832-a113-4ee84448e1a4,0
04/20/2018 at 03:29:36 AM EDT,00e0dcdb-ca08-4569-95f7-3a53cb6c44fd,0
