households.date_updated,households.house_ownership,households.sanitary_ownership,households.neighborhood_description,households.type_of_house,_id,_index_map
04/13/2018 at 10:12:46 AM GMT+08:00,Owned,Owned,Rural,Concrete-based,004ff0ae-4301-473b-81ff-3dc6b42cdd9f,0
05/11/2018 at 08:03:21 PM GMT+08:00,Owned,Owned,Urban,Wood-based,0051337e-c157-4215-afe5-38bf95be48d8,0
06/09/2018 at 09:24:57 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,00524edf-3e96-4388-932c-89ab9d1890a4,0
05/18/2018 at 06:11:47 PM GMT+08:00,Owned,Owned,Urban,Wood-based,006474b8-5454-4dd5-8b6a-d23686fad534,0
04/10/2018 at 09:37:24 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,006552f6-6047-4225-b7a2-fe6d548018b3,0
03/27/2018 at 09:49:31 AM GMT+08:00,Owned,Owned,Rural,Bahay-kubo,0066e25e-a81f-4d34-9e29-da905724c64f,0
04/30/2018 at 04:34:51 PM GMT+08:00,Owned,Owned,Rural,Wood-based,006e7df7-87b7-42ce-9dd9-cf29e58890ac,0
04/26/2018 at 12:56:56 AM EDT,Owned,Owned,Rural,Concrete-based,00753acf-6095-406e-945a-8a4f2bd53356,0
03/20/2018 at 07:48:31 AM GMT+08:00,Owned,Owned,Rural,Wood-based,0077b01b-9727-4126-bc00-6bbb6479c831,0
03/26/2018 at 11:04:09 PM GMT+08:00,Owned,Owned,Urban,Concrete-based,00780efb-4f3d-4fe7-8c6e-2921fc64a4a4,0
05/23/2018 at 09:48:47 AM GMT+08:00,Owned,Owned,Suburban,Concrete-based,0081689c-12ad-43b8-96d4-5c122134b894,0
03/25/2018 at 03:05:03 PM GMT+08:00,Living with relatives/friends,Owned,Rural,Mixed wood and concrete,0086a6fb-852a-424f-840d-dab9725e4aa5,0
05/10/2018 at 01:10:45 PM GMT+08:00,Owned,Owned,Suburban,Bahay-kubo,008def4c-5ed2-40c4-b6ef-5957e284c4bd,0
05/03/2018 at 05:44:44 AM GMT+08:00,Owned,Owned,Suburban,Mixed wood and concrete,00933068-b032-46bc-bb0f-ab687b164e83,0
04/26/2018 at 09:54:49 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,009446e6-af8c-4739-97db-1ad19302c150,0
05/18/2018 at 08:39:39 AM GMT+08:00,Owned,Owned,Rural,Concrete-based,00a0c2e1-69c3-483c-8931-c6da5ef6b786,0
03/09/2018 at 02:04:22 PM GMT+08:00,Owned,Owned,Rural,Wood-based,00a49807-c8c6-4c40-a8e2-bdb720001ec9,0
04/20/2018 at 10:38:02 AM GMT+08:00,Owned,Owned,Rural,Bahay-kubo,00aad015-cf59-4595-9234-4406fbbe6d38,0
12/31/2014 at 07:57:23 PM EST,owned-niece,Owned,Rural,Concrete-based,00acd0f6-da26-4d5e-bde9-452d9ed29d26,0
03/21/2018 at 09:08:31 AM GMT+00:00,Owned,Owned,Rural,Wood-based,00b631d4-bb23-47d1-b2a7-caf8ffbae284,0
03/16/2018 at 07:37:08 AM GMT+08:00,Owned,Shared,Rural,Bahay-kubo,00bcd077-7e67-45dd-b8c0-dbf1bf514fcb,0
05/11/2018 at 09:01:10 AM GMT+08:00,Owned,Owned,Rural,Wood-based,00c08aa3-39bc-4908-956b-fc0d077599bb,0
04/23/2018 at 11:36:03 AM GMT+08:00,Owned,Owned,Rural,Bahay-kubo,00c0a013-0751-402e-b79b-405c786a70e8,0
04/24/2018 at 08:35:53 PM GMT+00:00,Informal settlers,Owned,Rural,Bahay-kubo,00c3d977-34dc-4c5f-9ff3-8fe0cef9d934,0
05/07/2018 at 10:27:28 AM GMT+08:00,Owned,Owned,Rural,Concrete-based,00d20096-4fa3-42b8-a26f-9e4b78793d93,0
05/21/2018 at 07:18:46 AM GMT+08:00,Informal settlers,Owned,Rural,Wood-based,00d9394b-8888-4622-86e1-f1a11b7824f9,0
05/21/2018 at 10:27:23 AM GMT+08:00,Owned,Owned,Urban,Wood-based,00da80fa-98b1-48cb-9fcb-ce74f3f8439b,0
05/03/2018 at 10:16:55 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,00da9173-6910-4fe3-af8e-c727b72a9ee7,0
01/01/2016 at 11:59:07 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,00dfb157-b9c7-4832-a113-4ee84448e1a4,0
04/20/2018 at 03:14:40 AM EDT,Owned,Owned,Rural,Wood-based,00e0dcdb-ca08-4569-95f7-3a53cb6c44fd,0
